,dist_img,ref_img,dmos,var,distortion,intensity
57,I01_12_03.png,I01.png,2.77,0.883,12,03
58,I01_12_04.png,I01.png,2.37,0.836,12,04
59,I01_12_05.png,I01.png,1.97,0.547,12,05
60,I01_13_01.png,I01.png,3.67,0.789,13,01
61,I01_13_02.png,I01.png,2.87,1.087,13,02
62,I01_13_03.png,I01.png,2.6,0.663,13,03
63,I01_13_04.png,I01.png,2.07,0.727,13,04
64,I01_13_05.png,I01.png,2.03,0.657,13,05
65,I01_14_01.png,I01.png,4.57,0.616,14,01
66,I01_14_02.png,I01.png,3.57,1.023,14,02
67,I01_14_03.png,I01.png,3.13,0.846,14,03
68,I01_14_04.png,I01.png,2.5,0.764,14,04
69,I01_14_05.png,I01.png,2.27,0.68,14,05
70,I01_15_01.png,I01.png,3.57,0.989,15,01
71,I01_15_02.png,I01.png,2.63,0.912,15,02
72,I01_15_03.png,I01.png,1.77,0.607,15,03
73,I01_15_04.png,I01.png,1.4,0.49,15,04
74,I01_15_05.png,I01.png,1.33,0.471,15,05
75,I01_16_01.png,I01.png,4.37,0.547,16,01
76,I01_16_02.png,I01.png,4.47,0.562,16,02
77,I01_16_03.png,I01.png,3.94,0.504,16,03
78,I01_16_04.png,I01.png,3.17,0.898,16,04
79,I01_16_05.png,I01.png,2.18,0.796,16,05
80,I01_17_01.png,I01.png,4.5,0.5,17,01
81,I01_17_02.png,I01.png,4.57,0.496,17,02
82,I01_17_03.png,I01.png,4.33,0.596,17,03
83,I01_17_04.png,I01.png,3.4,0.879,17,04
84,I01_17_05.png,I01.png,2.13,0.846,17,05
85,I01_18_01.png,I01.png,4.5,0.5,18,01
86,I01_18_02.png,I01.png,4.57,0.496,18,02
87,I01_18_03.png,I01.png,4.57,0.496,18,03
88,I01_18_04.png,I01.png,4.37,0.795,18,04
89,I01_18_05.png,I01.png,3.97,0.657,18,05
90,I01_19_01.png,I01.png,4.53,0.499,19,01
91,I01_19_02.png,I01.png,3.93,0.727,19,02
92,I01_19_03.png,I01.png,2.77,0.803,19,03
93,I01_19_04.png,I01.png,1.53,0.562,19,04
94,I01_19_05.png,I01.png,1.37,0.482,19,05
95,I01_20_01.png,I01.png,4.53,0.67,20,01
96,I01_20_02.png,I01.png,3.9,1.136,20,02
97,I01_20_03.png,I01.png,4.0,0.966,20,03
98,I01_20_04.png,I01.png,3.33,1.35,20,04
99,I01_20_05.png,I01.png,3.23,1.542,20,05
100,I01_21_01.png,I01.png,3.37,0.948,21,01
101,I01_21_02.png,I01.png,2.57,0.883,21,02
102,I01_21_03.png,I01.png,2.03,0.74,21,03
103,I01_21_04.png,I01.png,2.13,0.884,21,04
104,I01_21_05.png,I01.png,1.43,0.559,21,05
105,I01_22_01.png,I01.png,4.63,0.605,22,01
106,I01_22_02.png,I01.png,4.0,0.894,22,02
107,I01_22_03.png,I01.png,4.0,0.931,22,03
108,I01_22_04.png,I01.png,3.2,0.98,22,04
109,I01_22_05.png,I01.png,2.2,0.909,22,05
110,I01_23_01.png,I01.png,2.73,0.929,23,01
111,I01_23_02.png,I01.png,2.17,0.86,23,02
112,I01_23_03.png,I01.png,2.2,0.945,23,03
113,I01_23_04.png,I01.png,2.37,1.197,23,04
114,I01_23_05.png,I01.png,1.57,0.616,23,05
115,I01_24_01.png,I01.png,3.57,0.92,24,01
116,I01_24_02.png,I01.png,2.5,0.847,24,02
117,I01_24_03.png,I01.png,1.87,0.67,24,03
118,I01_24_04.png,I01.png,1.6,0.554,24,04
119,I01_24_05.png,I01.png,1.4,0.554,24,05
120,I01_25_01.png,I01.png,3.43,0.844,25,01
121,I01_25_02.png,I01.png,3.87,0.806,25,02
122,I01_25_03.png,I01.png,4.26,0.566,25,03
123,I01_25_04.png,I01.png,4.17,0.582,25,04
124,I01_25_05.png,I01.png,3.27,0.854,25,05
125,I02_01_01.png,I02.png,4.5,0.719,01,01
126,I02_01_02.png,I02.png,4.17,0.934,01,02
127,I02_01_03.png,I02.png,2.07,0.772,01,03
128,I02_01_04.png,I02.png,1.57,0.496,01,04
129,I02_01_05.png,I02.png,1.27,0.512,01,05
130,I02_02_01.png,I02.png,3.2,0.748,02,01
131,I02_02_02.png,I02.png,2.27,0.854,02,02
132,I02_02_03.png,I02.png,1.57,0.616,02,03
133,I02_02_04.png,I02.png,1.17,0.373,02,04
134,I02_02_05.png,I02.png,1.0,0.0,02,05
135,I02_03_01.png,I02.png,4.6,0.554,03,01
136,I02_03_02.png,I02.png,3.77,0.716,03,02
137,I02_03_03.png,I02.png,2.33,0.699,03,03
138,I02_03_04.png,I02.png,1.8,0.542,03,04
139,I02_03_05.png,I02.png,1.2,0.4,03,05
140,I02_04_01.png,I02.png,4.3,0.64,04,01
141,I02_04_02.png,I02.png,2.67,0.869,04,02
142,I02_04_03.png,I02.png,1.87,0.763,04,03
143,I02_04_04.png,I02.png,1.77,0.716,04,04
144,I02_04_05.png,I02.png,1.53,0.718,04,05
145,I02_05_01.png,I02.png,3.77,0.761,05,01
146,I02_05_02.png,I02.png,1.8,0.476,05,02
147,I02_05_03.png,I02.png,1.33,0.471,05,03
148,I02_05_04.png,I02.png,1.37,0.482,05,04
149,I02_05_05.png,I02.png,1.47,0.562,05,05
150,I02_06_01.png,I02.png,4.2,0.872,06,01
151,I02_06_02.png,I02.png,4.07,0.727,06,02
152,I02_06_03.png,I02.png,3.97,0.948,06,03
153,I02_06_04.png,I02.png,3.7,0.936,06,04
154,I02_06_05.png,I02.png,2.63,0.983,06,05
155,I02_07_01.png,I02.png,2.47,1.087,07,01
156,I02_07_02.png,I02.png,2.37,1.048,07,02
157,I02_07_03.png,I02.png,2.06,1.045,07,03
158,I02_07_04.png,I02.png,1.97,1.048,07,04
159,I02_07_05.png,I02.png,1.53,0.763,07,05
160,I02_08_01.png,I02.png,4.4,0.554,08,01
161,I02_08_02.png,I02.png,3.4,0.879,08,02
162,I02_08_03.png,I02.png,3.06,1.043,08,03
163,I02_08_04.png,I02.png,1.97,0.912,08,04
164,I02_08_05.png,I02.png,1.37,0.752,08,05
165,I02_09_01.png,I02.png,4.57,0.716,09,01
166,I02_09_02.png,I02.png,3.73,0.814,09,02
167,I02_09_03.png,I02.png,3.07,1.123,09,03
168,I02_09_04.png,I02.png,1.53,0.562,09,04
169,I02_09_05.png,I02.png,1.27,0.442,09,05
170,I02_10_01.png,I02.png,4.6,0.554,10,01
171,I02_10_02.png,I02.png,4.33,0.596,10,02
172,I02_10_03.png,I02.png,4.13,0.718,10,03
173,I02_10_04.png,I02.png,2.6,1.281,10,04
174,I02_10_05.png,I02.png,1.6,0.757,10,05
175,I02_11_01.png,I02.png,4.27,0.929,11,01
176,I02_11_02.png,I02.png,3.7,0.936,11,02
177,I02_11_03.png,I02.png,3.4,0.841,11,03
178,I02_11_04.png,I02.png,2.73,0.772,11,04
179,I02_11_05.png,I02.png,2.3,0.69,11,05
180,I02_12_01.png,I02.png,4.63,0.547,12,01
181,I02_12_02.png,I02.png,4.06,0.84,12,02
182,I02_12_03.png,I02.png,3.67,0.83,12,03
183,I02_12_04.png,I02.png,2.6,0.8,12,04
184,I02_12_05.png,I02.png,2.37,0.706,12,05
185,I02_13_01.png,I02.png,4.2,0.702,13,01
186,I02_13_02.png,I02.png,3.33,1.164,13,02
187,I02_13_03.png,I02.png,2.73,0.892,13,03
188,I02_13_04.png,I02.png,2.53,0.806,13,04
189,I02_13_05.png,I02.png,1.97,0.547,13,05
190,I02_14_01.png,I02.png,4.33,0.699,14,01
191,I02_14_02.png,I02.png,3.37,0.836,14,02
192,I02_14_03.png,I02.png,2.7,0.781,14,03
193,I02_14_04.png,I02.png,2.33,0.869,14,04
194,I02_14_05.png,I02.png,2.0,0.73,14,05
195,I02_15_01.png,I02.png,3.57,0.883,15,01
196,I02_15_02.png,I02.png,2.77,0.716,15,02
197,I02_15_03.png,I02.png,2.03,0.795,15,03
198,I02_15_04.png,I02.png,1.5,0.563,15,04
199,I02_15_05.png,I02.png,1.5,0.671,15,05
200,I02_16_01.png,I02.png,4.4,0.841,16,01
201,I02_16_02.png,I02.png,4.4,0.554,16,02
202,I02_16_03.png,I02.png,3.77,0.716,16,03
203,I02_16_04.png,I02.png,2.9,0.907,16,04
204,I02_16_05.png,I02.png,1.83,0.734,16,05
205,I02_17_01.png,I02.png,4.5,0.5,17,01
206,I02_17_02.png,I02.png,4.63,0.547,17,02
207,I02_17_03.png,I02.png,4.33,0.596,17,03
208,I02_17_04.png,I02.png,3.63,0.795,17,04
209,I02_17_05.png,I02.png,1.9,0.79,17,05
210,I02_18_01.png,I02.png,4.13,0.67,18,01
211,I02_18_02.png,I02.png,4.63,0.547,18,02
212,I02_18_03.png,I02.png,4.73,0.442,18,03
213,I02_18_04.png,I02.png,4.33,0.537,18,04
214,I02_18_05.png,I02.png,4.03,0.605,18,05
215,I02_19_01.png,I02.png,4.17,0.778,19,01
216,I02_19_02.png,I02.png,4.0,0.73,19,02
217,I02_19_03.png,I02.png,3.23,0.955,19,03
218,I02_19_04.png,I02.png,1.57,0.496,19,04
219,I02_19_05.png,I02.png,1.3,0.458,19,05
220,I02_20_01.png,I02.png,4.5,0.671,20,01
221,I02_20_02.png,I02.png,4.47,0.618,20,02
222,I02_20_03.png,I02.png,4.4,0.712,20,03
223,I02_20_04.png,I02.png,3.83,0.898,20,04
224,I02_20_05.png,I02.png,4.4,0.841,20,05
225,I02_21_01.png,I02.png,4.2,1.046,21,01
226,I02_21_02.png,I02.png,3.23,0.955,21,02
227,I02_21_03.png,I02.png,3.13,1.118,21,03
228,I02_21_04.png,I02.png,2.67,1.011,21,04
229,I02_21_05.png,I02.png,1.37,0.547,21,05
230,I02_22_01.png,I02.png,4.73,0.442,22,01
231,I02_22_02.png,I02.png,4.26,0.879,22,02
232,I02_22_03.png,I02.png,4.4,0.841,22,03
233,I02_22_04.png,I02.png,3.93,0.929,22,04
234,I02_22_05.png,I02.png,3.2,1.013,22,05
235,I02_23_01.png,I02.png,2.1,0.907,23,01
236,I02_23_02.png,I02.png,2.7,1.038,23,02
237,I02_23_03.png,I02.png,2.27,0.998,23,03
238,I02_23_04.png,I02.png,2.2,0.748,23,04
239,I02_23_05.png,I02.png,2.07,0.772,23,05
240,I02_24_01.png,I02.png,3.07,0.964,24,01
241,I02_24_02.png,I02.png,1.93,0.68,24,02
242,I02_24_03.png,I02.png,1.47,0.618,24,03
243,I02_24_04.png,I02.png,1.23,0.423,24,04
244,I02_24_05.png,I02.png,1.2,0.476,24,05
245,I02_25_01.png,I02.png,3.37,0.795,25,01
246,I02_25_02.png,I02.png,3.7,0.936,25,02
247,I02_25_03.png,I02.png,4.27,0.512,25,03
248,I02_25_04.png,I02.png,4.1,0.746,25,04
249,I02_25_05.png,I02.png,3.33,0.699,25,05
250,I03_01_01.png,I03.png,4.7,0.458,01,01
251,I03_01_02.png,I03.png,4.63,0.482,01,02
252,I03_01_03.png,I03.png,3.0,0.856,01,03
253,I03_01_04.png,I03.png,1.83,0.637,01,04
254,I03_01_05.png,I03.png,1.17,0.373,01,05
255,I03_02_01.png,I03.png,4.03,0.836,02,01
256,I03_02_02.png,I03.png,2.7,0.9,02,02
257,I03_02_03.png,I03.png,1.7,0.64,02,03
258,I03_02_04.png,I03.png,1.47,0.562,02,04
259,I03_02_05.png,I03.png,1.23,0.496,02,05
260,I03_03_01.png,I03.png,4.6,0.49,03,01
261,I03_03_02.png,I03.png,4.37,0.706,03,02
262,I03_03_03.png,I03.png,2.93,0.814,03,03
263,I03_03_04.png,I03.png,2.23,0.716,03,04
264,I03_03_05.png,I03.png,1.63,0.605,03,05
265,I03_04_01.png,I03.png,4.6,0.49,04,01
266,I03_04_02.png,I03.png,2.9,0.978,04,02
267,I03_04_03.png,I03.png,1.53,0.718,04,03
268,I03_04_04.png,I03.png,1.2,0.6,04,04
269,I03_04_05.png,I03.png,1.1,0.3,04,05
270,I03_05_01.png,I03.png,4.78,0.413,05,01
271,I03_05_02.png,I03.png,2.65,0.785,05,02
272,I03_05_03.png,I03.png,2.0,0.683,05,03
273,I03_05_04.png,I03.png,1.87,0.718,05,04
274,I03_05_05.png,I03.png,2.23,0.989,05,05
275,I03_06_01.png,I03.png,4.0,0.856,06,01
276,I03_06_02.png,I03.png,3.8,1.013,06,02
277,I03_06_03.png,I03.png,3.33,1.011,06,03
278,I03_06_04.png,I03.png,2.83,0.934,06,04
279,I03_06_05.png,I03.png,1.77,0.667,06,05
280,I03_07_01.png,I03.png,2.37,1.08,07,01
281,I03_07_02.png,I03.png,1.67,0.83,07,02
282,I03_07_03.png,I03.png,1.43,0.559,07,03
283,I03_07_04.png,I03.png,1.53,0.67,07,04
284,I03_07_05.png,I03.png,1.47,0.618,07,05
285,I03_08_01.png,I03.png,4.53,0.562,08,01
286,I03_08_02.png,I03.png,3.13,1.024,08,02
287,I03_08_03.png,I03.png,2.47,0.957,08,03
288,I03_08_04.png,I03.png,1.37,0.547,08,04
289,I03_08_05.png,I03.png,1.23,0.496,08,05
290,I03_09_01.png,I03.png,4.4,0.757,09,01
291,I03_09_02.png,I03.png,3.6,0.987,09,02
292,I03_09_03.png,I03.png,3.1,0.978,09,03
293,I03_09_04.png,I03.png,1.77,0.616,09,04
294,I03_09_05.png,I03.png,1.1,0.3,09,05
295,I03_10_01.png,I03.png,4.47,0.67,10,01
296,I03_10_02.png,I03.png,4.17,0.898,10,02
297,I03_10_03.png,I03.png,3.7,1.005,10,03
298,I03_10_04.png,I03.png,2.23,0.667,10,04
299,I03_10_05.png,I03.png,1.53,0.718,10,05
300,I03_11_01.png,I03.png,3.97,0.836,11,01
301,I03_11_02.png,I03.png,3.6,0.757,11,02
302,I03_11_03.png,I03.png,3.27,0.854,11,03
303,I03_11_04.png,I03.png,2.93,0.929,11,04
304,I03_11_05.png,I03.png,2.5,0.847,11,05
305,I03_12_01.png,I03.png,4.57,0.496,12,01
306,I03_12_02.png,I03.png,3.87,0.763,12,02
307,I03_12_03.png,I03.png,3.17,0.734,12,03
308,I03_12_04.png,I03.png,2.9,0.907,12,04
309,I03_12_05.png,I03.png,2.6,0.917,12,05
310,I03_13_01.png,I03.png,4.4,0.611,13,01
311,I03_13_02.png,I03.png,3.57,0.989,13,02
312,I03_13_03.png,I03.png,2.83,0.778,13,03
313,I03_13_04.png,I03.png,2.3,0.823,13,04
314,I03_13_05.png,I03.png,2.4,0.663,13,05
315,I03_14_01.png,I03.png,4.4,0.554,14,01
316,I03_14_02.png,I03.png,3.5,0.992,14,02
317,I03_14_03.png,I03.png,3.03,0.948,14,03
318,I03_14_04.png,I03.png,2.53,0.67,14,04
319,I03_14_05.png,I03.png,2.17,0.582,14,05
320,I03_15_01.png,I03.png,4.13,0.763,15,01
321,I03_15_02.png,I03.png,3.3,1.038,15,02
322,I03_15_03.png,I03.png,2.53,0.806,15,03
323,I03_15_04.png,I03.png,1.9,0.597,15,04
324,I03_15_05.png,I03.png,1.43,0.559,15,05
325,I03_16_01.png,I03.png,4.37,0.482,16,01
326,I03_16_02.png,I03.png,4.27,0.512,16,02
327,I03_16_03.png,I03.png,2.87,0.991,16,03
328,I03_16_04.png,I03.png,2.3,0.9,16,04
329,I03_16_05.png,I03.png,1.4,0.554,16,05
330,I03_17_01.png,I03.png,4.5,0.5,17,01
331,I03_17_02.png,I03.png,4.63,0.547,17,02
332,I03_17_03.png,I03.png,4.4,0.49,17,03
333,I03_17_04.png,I03.png,3.67,0.745,17,04
334,I03_17_05.png,I03.png,2.77,1.086,17,05
335,I03_18_01.png,I03.png,4.23,0.716,18,01
336,I03_18_02.png,I03.png,4.73,0.442,18,02
337,I03_18_03.png,I03.png,4.5,0.619,18,03
338,I03_18_04.png,I03.png,4.47,0.499,18,04
339,I03_18_05.png,I03.png,4.2,0.653,18,05
340,I03_19_01.png,I03.png,4.17,0.734,19,01
341,I03_19_02.png,I03.png,3.33,0.699,19,02
342,I03_19_03.png,I03.png,3.17,0.934,19,03
343,I03_19_04.png,I03.png,1.77,0.667,19,04
344,I03_19_05.png,I03.png,1.37,0.482,19,05
345,I03_20_01.png,I03.png,4.37,0.912,20,01
346,I03_20_02.png,I03.png,4.67,0.471,20,02
347,I03_20_03.png,I03.png,4.23,0.716,20,03
348,I03_20_04.png,I03.png,4.17,1.098,20,04
349,I03_20_05.png,I03.png,3.63,1.016,20,05
350,I03_21_01.png,I03.png,3.97,1.048,21,01
351,I03_21_02.png,I03.png,2.8,0.945,21,02
352,I03_21_03.png,I03.png,2.73,0.789,21,03
353,I03_21_04.png,I03.png,2.87,0.806,21,04
354,I03_21_05.png,I03.png,1.39,0.487,21,05
355,I03_22_01.png,I03.png,4.4,0.757,22,01
356,I03_22_02.png,I03.png,4.6,0.611,22,02
357,I03_22_03.png,I03.png,4.23,0.844,22,03
358,I03_22_04.png,I03.png,4.07,0.854,22,04
359,I03_22_05.png,I03.png,4.0,0.683,22,05
360,I03_23_01.png,I03.png,3.2,1.222,23,01
361,I03_23_02.png,I03.png,2.3,0.862,23,02
362,I03_23_03.png,I03.png,2.47,1.056,23,03
363,I03_23_04.png,I03.png,2.1,0.79,23,04
364,I03_23_05.png,I03.png,2.2,0.945,23,05
365,I03_24_01.png,I03.png,3.67,0.789,24,01
366,I03_24_02.png,I03.png,2.47,0.921,24,02
367,I03_24_03.png,I03.png,1.9,0.79,24,03
368,I03_24_04.png,I03.png,1.4,0.611,24,04
369,I03_24_05.png,I03.png,1.13,0.34,24,05
370,I03_25_01.png,I03.png,3.67,0.699,25,01
371,I03_25_02.png,I03.png,3.84,0.723,25,02
372,I03_25_03.png,I03.png,4.63,0.605,25,03
373,I03_25_04.png,I03.png,4.4,0.49,25,04
374,I03_25_05.png,I03.png,3.67,0.789,25,05
375,I04_01_01.png,I04.png,4.77,0.423,01,01
376,I04_01_02.png,I04.png,4.3,0.69,01,02
377,I04_01_03.png,I04.png,2.5,0.992,01,03
378,I04_01_04.png,I04.png,1.57,0.616,01,04
379,I04_01_05.png,I04.png,1.2,0.4,01,05
380,I04_02_01.png,I04.png,3.57,0.667,02,01
381,I04_02_02.png,I04.png,2.43,0.667,02,02
382,I04_02_03.png,I04.png,1.5,0.671,02,03
383,I04_02_04.png,I04.png,1.43,0.559,02,04
384,I04_02_05.png,I04.png,1.2,0.4,02,05
385,I04_03_01.png,I04.png,4.7,0.526,03,01
386,I04_03_02.png,I04.png,4.17,0.687,03,02
387,I04_03_03.png,I04.png,2.63,0.795,03,03
388,I04_03_04.png,I04.png,1.93,0.727,03,04
389,I04_03_05.png,I04.png,1.6,0.49,03,05
390,I04_04_01.png,I04.png,4.33,0.745,04,01
391,I04_04_02.png,I04.png,3.07,0.929,04,02
392,I04_04_03.png,I04.png,2.37,1.016,04,03
393,I04_04_04.png,I04.png,1.97,0.999,04,04
394,I04_04_05.png,I04.png,1.67,0.907,04,05
395,I04_05_01.png,I04.png,3.7,0.862,05,01
396,I04_05_02.png,I04.png,1.83,0.82,05,02
397,I04_05_03.png,I04.png,1.93,0.814,05,03
398,I04_05_04.png,I04.png,1.43,0.496,05,04
399,I04_05_05.png,I04.png,1.47,0.562,05,05
400,I04_06_01.png,I04.png,4.37,0.875,06,01
401,I04_06_02.png,I04.png,4.43,0.667,06,02
402,I04_06_03.png,I04.png,3.83,1.035,06,03
403,I04_06_04.png,I04.png,3.47,0.846,06,04
404,I04_06_05.png,I04.png,2.73,0.854,06,05
405,I04_07_01.png,I04.png,2.7,0.971,07,01
406,I04_07_02.png,I04.png,2.63,1.11,07,02
407,I04_07_03.png,I04.png,2.7,0.862,07,03
408,I04_07_04.png,I04.png,2.57,0.955,07,04
409,I04_07_05.png,I04.png,2.16,0.766,07,05
410,I04_08_01.png,I04.png,4.7,0.458,08,01
411,I04_08_02.png,I04.png,3.43,1.146,08,02
412,I04_08_03.png,I04.png,3.13,0.846,08,03
413,I04_08_04.png,I04.png,2.33,0.978,08,04
414,I04_08_05.png,I04.png,1.83,0.778,08,05
415,I04_09_01.png,I04.png,4.6,0.554,09,01
416,I04_09_02.png,I04.png,4.4,0.663,09,02
417,I04_09_03.png,I04.png,4.07,0.892,09,03
418,I04_09_04.png,I04.png,1.73,0.727,09,04
419,I04_09_05.png,I04.png,1.23,0.496,09,05
420,I04_10_01.png,I04.png,4.27,0.727,10,01
421,I04_10_02.png,I04.png,4.1,0.597,10,02
422,I04_10_03.png,I04.png,3.87,0.562,10,03
423,I04_10_04.png,I04.png,1.87,0.67,10,04
424,I04_10_05.png,I04.png,1.23,0.423,10,05
425,I04_11_01.png,I04.png,3.63,0.912,11,01
426,I04_11_02.png,I04.png,3.57,0.803,11,02
427,I04_11_03.png,I04.png,3.03,0.836,11,03
428,I04_11_04.png,I04.png,2.4,0.663,11,04
429,I04_11_05.png,I04.png,2.3,0.64,11,05
430,I04_12_01.png,I04.png,4.33,0.699,12,01
431,I04_12_02.png,I04.png,3.27,0.814,12,02
432,I04_12_03.png,I04.png,3.2,0.792,12,03
433,I04_12_04.png,I04.png,2.5,0.806,12,04
434,I04_12_05.png,I04.png,2.2,0.542,12,05
435,I04_13_01.png,I04.png,3.43,0.761,13,01
436,I04_13_02.png,I04.png,2.83,0.82,13,02
437,I04_13_03.png,I04.png,2.73,0.814,13,03
438,I04_13_04.png,I04.png,2.2,0.702,13,04
439,I04_13_05.png,I04.png,1.87,0.718,13,05
440,I04_14_01.png,I04.png,4.53,0.67,14,01
441,I04_14_02.png,I04.png,3.23,0.883,14,02
442,I04_14_03.png,I04.png,2.83,0.86,14,03
443,I04_14_04.png,I04.png,2.4,0.917,14,04
444,I04_14_05.png,I04.png,2.1,0.7,14,05
445,I04_15_01.png,I04.png,3.8,0.702,15,01
446,I04_15_02.png,I04.png,2.7,0.862,15,02
447,I04_15_03.png,I04.png,2.23,0.761,15,03
448,I04_15_04.png,I04.png,1.67,0.471,15,04
449,I04_15_05.png,I04.png,1.27,0.512,15,05
450,I04_16_01.png,I04.png,4.57,0.496,16,01
451,I04_16_02.png,I04.png,4.47,0.67,16,02
452,I04_16_03.png,I04.png,3.83,0.734,16,03
453,I04_16_04.png,I04.png,2.73,0.854,16,04
454,I04_16_05.png,I04.png,2.03,0.836,16,05
455,I04_17_01.png,I04.png,4.53,0.718,17,01
456,I04_17_02.png,I04.png,4.6,0.49,17,02
457,I04_17_03.png,I04.png,3.97,0.605,17,03
458,I04_17_04.png,I04.png,3.4,0.879,17,04
459,I04_17_05.png,I04.png,1.97,0.836,17,05
460,I04_18_01.png,I04.png,4.27,0.68,18,01
461,I04_18_02.png,I04.png,4.63,0.605,18,02
462,I04_18_03.png,I04.png,4.87,0.34,18,03
463,I04_18_04.png,I04.png,4.57,0.496,18,04
464,I04_18_05.png,I04.png,3.63,0.657,18,05
465,I04_19_01.png,I04.png,4.33,0.537,19,01
466,I04_19_02.png,I04.png,3.9,0.907,19,02
467,I04_19_03.png,I04.png,3.03,0.822,19,03
468,I04_19_04.png,I04.png,1.6,0.611,19,04
469,I04_19_05.png,I04.png,1.33,0.471,19,05
470,I04_20_01.png,I04.png,4.6,0.554,20,01
471,I04_20_02.png,I04.png,4.1,1.136,20,02
472,I04_20_03.png,I04.png,4.1,0.943,20,03
473,I04_20_04.png,I04.png,3.6,1.143,20,04
474,I04_20_05.png,I04.png,4.1,0.907,20,05
475,I04_21_01.png,I04.png,4.4,0.663,21,01
476,I04_21_02.png,I04.png,3.17,0.969,21,02
477,I04_21_03.png,I04.png,3.03,0.948,21,03
478,I04_21_04.png,I04.png,2.93,0.854,21,04
479,I04_21_05.png,I04.png,1.27,0.442,21,05
480,I04_22_01.png,I04.png,4.17,0.898,22,01
481,I04_22_02.png,I04.png,3.68,1.059,22,02
482,I04_22_03.png,I04.png,3.6,1.2,22,03
483,I04_22_04.png,I04.png,3.37,1.11,22,04
484,I04_22_05.png,I04.png,2.9,1.027,22,05
485,I04_23_01.png,I04.png,2.27,0.964,23,01
486,I04_23_02.png,I04.png,2.37,0.836,23,02
487,I04_23_03.png,I04.png,1.87,0.718,23,03
488,I04_23_04.png,I04.png,2.23,0.667,23,04
489,I04_23_05.png,I04.png,2.2,0.748,23,05
490,I04_24_01.png,I04.png,3.77,0.844,24,01
491,I04_24_02.png,I04.png,2.6,0.8,24,02
492,I04_24_03.png,I04.png,2.0,0.683,24,03
493,I04_24_04.png,I04.png,1.67,0.65,24,04
494,I04_24_05.png,I04.png,1.5,0.719,24,05
495,I04_25_01.png,I04.png,3.61,0.704,25,01
496,I04_25_02.png,I04.png,3.73,0.772,25,02
497,I04_25_03.png,I04.png,3.9,0.79,25,03
